Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Year
0 days 00:36:13.284000,GAS,10,0 days 00:02:38.457000,1.0,1.0,,,,0 days 00:00:55.686000,0 days 00:01:17.550000,,0 days 00:34:55.668000,0 days 00:36:13.243000,270.0,64.0,161.0,293.0,False,SUPERSOFT,1.0,True,Toro Rosso,0 days 00:33:34.462000,2018-11-25 13:13:34.535,124,14.0,False,,False,False,32.1,39.6,1012.7,False,34.3,302,0.9,2018
0 days 00:38:53.023000,GAS,10,,2.0,1.0,,,0 days 00:00:25.470000,0 days 00:01:12.750000,0 days 00:01:01.597000,0 days 00:36:38.610000,0 days 00:37:51.401000,0 days 00:38:53.112000,217.0,113.0,186.0,102.0,False,SUPERSOFT,2.0,True,Toro Rosso,0 days 00:36:13.284000,2018-11-25 13:16:13.357,4,13.0,False,,False,False,32.3,38.7,1012.8,False,34.1,272,0.7,2018
0 days 00:41:29.199000,GAS,10,,3.0,1.0,,,0 days 00:00:27.369000,0 days 00:01:08.423000,0 days 00:01:00.276000,0 days 00:39:20.630000,0 days 00:40:28.857000,0 days 00:41:29.264000,135.0,170.0,122.0,236.0,False,SUPERSOFT,3.0,True,Toro Rosso,0 days 00:38:53.023000,2018-11-25 13:18:53.096,4,13.0,False,,False,False,32.5,38.2,1012.7,False,34.7,225,1.5,2018
0 days 00:44:05.498000,GAS,10,,4.0,1.0,,,0 days 00:00:29.772000,0 days 00:01:09.363000,0 days 00:00:57.284000,0 days 00:41:58.974000,0 days 00:43:08.219000,0 days 00:44:05.593000,97.0,119.0,207.0,179.0,False,SUPERSOFT,4.0,True,Toro Rosso,0 days 00:41:29.199000,2018-11-25 13:21:29.272,41,13.0,False,,False,False,32.6,38.0,1012.8,False,34.8,280,1.0,2018
0 days 00:45:54.136000,GAS,10,0 days 00:01:48.638000,5.0,1.0,,,0 days 00:00:19.046000,0 days 00:00:44.972000,0 days 00:00:44.620000,0 days 00:44:24.478000,0 days 00:45:09.450000,0 days 00:45:54.070000,285.0,285.0,208.0,313.0,True,SUPERSOFT,5.0,True,Toro Rosso,0 days 00:44:05.498000,2018-11-25 13:24:05.571,1,13.0,False,,False,True,32.6,37.7,1012.8,False,34.6,267,0.8,2018
0 days 00:47:42.140000,GAS,10,0 days 00:01:48.004000,6.0,1.0,,,0 days 00:00:18.888000,0 days 00:00:45.067000,0 days 00:00:44.049000,0 days 00:46:12.958000,0 days 00:46:58.025000,0 days 00:47:42.074000,289.0,274.0,209.0,294.0,True,SUPERSOFT,6.0,True,Toro Rosso,0 days 00:45:54.136000,2018-11-25 13:25:54.209,1,13.0,False,,False,True,32.7,37.5,1012.8,False,34.6,0,1.3,2018
0 days 00:49:58.053000,GAS,10,0 days 00:02:15.913000,7.0,1.0,,,0 days 00:00:18.834000,0 days 00:01:02.181000,0 days 00:00:54.898000,0 days 00:48:00.908000,0 days 00:49:03.089000,0 days 00:49:57.987000,285.0,229.0,146.0,145.0,False,SUPERSOFT,7.0,True,Toro Rosso,0 days 00:47:42.140000,2018-11-25 13:27:42.213,126,12.0,False,,False,False,32.7,37.2,1012.8,False,34.3,272,1.5,2018
0 days 00:52:08.168000,GAS,10,0 days 00:02:10.115000,8.0,1.0,,,0 days 00:00:27.048000,0 days 00:00:57.330000,0 days 00:00:45.737000,0 days 00:50:25.035000,0 days 00:51:22.365000,0 days 00:52:08.102000,141.0,168.0,210.0,209.0,False,SUPERSOFT,8.0,True,Toro Rosso,0 days 00:49:58.053000,2018-11-25 13:29:58.126,671,10.0,False,,False,False,33.0,36.5,1013.0,False,34.4,274,1.6,2018
0 days 00:53:54.592000,GAS,10,0 days 00:01:46.424000,9.0,1.0,,,0 days 00:00:18.624000,0 days 00:00:44.413000,0 days 00:00:43.387000,0 days 00:52:26.726000,0 days 00:53:11.139000,0 days 00:53:54.526000,286.0,284.0,209.0,314.0,True,SUPERSOFT,9.0,True,Toro Rosso,0 days 00:52:08.168000,2018-11-25 13:32:08.241,1,10.0,False,,False,True,33.1,36.6,1013.0,False,34.4,265,0.9,2018
0 days 00:55:41.652000,GAS,10,0 days 00:01:47.060000,10.0,1.0,,,0 days 00:00:18.586000,0 days 00:00:44.785000,0 days 00:00:43.689000,0 days 00:54:13.112000,0 days 00:54:57.897000,0 days 00:55:41.586000,282.0,280.0,209.0,298.0,False,SUPERSOFT,10.0,True,Toro Rosso,0 days 00:53:54.592000,2018-11-25 13:33:54.665,1,10.0,False,,False,True,33.1,36.7,1012.9,False,34.1,0,1.0,2018
0 days 00:57:28.639000,GAS,10,0 days 00:01:46.987000,11.0,1.0,,,0 days 00:00:18.667000,0 days 00:00:44.827000,0 days 00:00:43.493000,0 days 00:56:00.253000,0 days 00:56:45.080000,0 days 00:57:28.573000,285.0,277.0,211.0,293.0,False,SUPERSOFT,11.0,True,Toro Rosso,0 days 00:55:41.652000,2018-11-25 13:35:41.725,1,10.0,False,,False,True,32.9,36.8,1012.9,False,34.3,246,1.1,2018
0 days 00:59:15.815000,GAS,10,0 days 00:01:47.176000,12.0,1.0,,,0 days 00:00:18.655000,0 days 00:00:45.032000,0 days 00:00:43.489000,0 days 00:57:47.228000,0 days 00:58:32.260000,0 days 00:59:15.749000,284.0,279.0,207.0,290.0,False,SUPERSOFT,12.0,True,Toro Rosso,0 days 00:57:28.639000,2018-11-25 13:37:28.712,1,10.0,False,,False,True,32.9,37.0,1012.9,False,34.3,273,1.3,2018
0 days 01:01:03.490000,GAS,10,0 days 00:01:47.675000,13.0,1.0,,,0 days 00:00:18.750000,0 days 00:00:45.105000,0 days 00:00:43.820000,0 days 00:59:34.499000,0 days 01:00:19.604000,0 days 01:01:03.424000,279.0,277.0,206.0,290.0,False,SUPERSOFT,13.0,True,Toro Rosso,0 days 00:59:15.815000,2018-11-25 13:39:15.888,1,10.0,False,,False,True,33.0,36.6,1012.9,False,34.3,271,3.1,2018
0 days 01:02:51.768000,GAS,10,0 days 00:01:48.278000,14.0,1.0,,,0 days 00:00:18.819000,0 days 00:00:45.362000,0 days 00:00:44.097000,0 days 01:01:22.243000,0 days 01:02:07.605000,0 days 01:02:51.702000,283.0,284.0,205.0,292.0,False,SUPERSOFT,14.0,True,Toro Rosso,0 days 01:01:03.490000,2018-11-25 13:41:03.563,1,10.0,False,,False,True,33.2,36.2,1013.0,False,34.5,244,1.4,2018
0 days 01:04:39.482000,GAS,10,0 days 00:01:47.714000,15.0,1.0,,,0 days 00:00:18.758000,0 days 00:00:45.166000,0 days 00:00:43.790000,0 days 01:03:10.460000,0 days 01:03:55.626000,0 days 01:04:39.416000,281.0,285.0,211.0,293.0,False,SUPERSOFT,15.0,True,Toro Rosso,0 days 01:02:51.768000,2018-11-25 13:42:51.841,1,10.0,False,,False,True,33.1,36.4,1013.0,False,34.4,248,1.4,2018
0 days 01:06:27.053000,GAS,10,0 days 00:01:47.571000,16.0,1.0,,,0 days 00:00:18.508000,0 days 00:00:44.581000,0 days 00:00:44.482000,0 days 01:04:57.924000,0 days 01:05:42.505000,0 days 01:06:26.987000,286.0,283.0,210.0,314.0,False,SUPERSOFT,16.0,True,Toro Rosso,0 days 01:04:39.482000,2018-11-25 13:44:39.555,1,10.0,False,,False,True,33.0,36.5,1013.0,False,34.3,281,1.6,2018
0 days 01:08:15.624000,GAS,10,0 days 00:01:48.571000,17.0,1.0,,,0 days 00:00:18.452000,0 days 00:00:44.201000,0 days 00:00:45.918000,0 days 01:06:45.439000,0 days 01:07:29.640000,0 days 01:08:15.558000,282.0,314.0,209.0,312.0,False,SUPERSOFT,17.0,True,Toro Rosso,0 days 01:06:27.053000,2018-11-25 13:46:27.126,1,10.0,False,,False,True,33.2,36.1,1013.0,False,34.6,271,1.7,2018
0 days 01:10:03.525000,GAS,10,0 days 00:01:47.901000,18.0,1.0,,,0 days 00:00:18.608000,0 days 00:00:44.796000,0 days 00:00:44.497000,0 days 01:08:34.166000,0 days 01:09:18.962000,0 days 01:10:03.459000,281.0,283.0,207.0,322.0,False,SUPERSOFT,18.0,True,Toro Rosso,0 days 01:08:15.624000,2018-11-25 13:48:15.697,1,10.0,False,,False,True,33.1,36.3,1013.1,False,34.4,284,2.9,2018
0 days 01:11:50.304000,GAS,10,0 days 00:01:46.779000,19.0,1.0,,,0 days 00:00:18.441000,0 days 00:00:45.012000,0 days 00:00:43.326000,0 days 01:10:21.900000,0 days 01:11:06.912000,0 days 01:11:50.238000,282.0,290.0,211.0,300.0,False,SUPERSOFT,19.0,True,Toro Rosso,0 days 01:10:03.525000,2018-11-25 13:50:03.598,1,9.0,False,,False,True,33.1,36.4,1013.0,False,34.5,282,4.0,2018
0 days 01:13:37.105000,GAS,10,0 days 00:01:46.801000,20.0,1.0,,,0 days 00:00:18.492000,0 days 00:00:45.023000,0 days 00:00:43.286000,0 days 01:12:08.730000,0 days 01:12:53.753000,0 days 01:13:37.039000,279.0,287.0,209.0,299.0,False,SUPERSOFT,20.0,True,Toro Rosso,0 days 01:11:50.304000,2018-11-25 13:51:50.377,1,9.0,False,,False,True,33.2,36.2,1013.1,False,34.6,279,4.0,2018
0 days 01:15:23.451000,GAS,10,0 days 00:01:46.346000,21.0,1.0,,,0 days 00:00:18.469000,0 days 00:00:44.748000,0 days 00:00:43.129000,0 days 01:13:55.508000,0 days 01:14:40.256000,0 days 01:15:23.385000,,285.0,211.0,297.0,True,SUPERSOFT,21.0,True,Toro Rosso,0 days 01:13:37.105000,2018-11-25 13:53:37.178,1,9.0,False,,False,True,33.2,37.3,1013.0,False,34.5,281,4.9,2018
0 days 01:17:09.781000,GAS,10,0 days 00:01:46.330000,22.0,1.0,,,0 days 00:00:18.407000,0 days 00:00:44.781000,0 days 00:00:43.142000,0 days 01:15:41.792000,0 days 01:16:26.573000,0 days 01:17:09.715000,281.0,286.0,212.0,300.0,True,SUPERSOFT,22.0,True,Toro Rosso,0 days 01:15:23.451000,2018-11-25 13:55:23.524,1,9.0,False,,False,True,33.2,37.3,1013.0,False,34.5,281,4.9,2018
0 days 01:18:55.928000,GAS,10,0 days 00:01:46.147000,23.0,1.0,,,0 days 00:00:18.419000,0 days 00:00:44.675000,0 days 00:00:43.053000,0 days 01:17:28.134000,0 days 01:18:12.809000,0 days 01:18:55.862000,278.0,285.0,209.0,296.0,True,SUPERSOFT,23.0,True,Toro Rosso,0 days 01:17:09.781000,2018-11-25 13:57:09.854,1,9.0,False,,False,True,33.2,37.3,1013.0,False,34.5,281,4.9,2018
0 days 01:20:43.111000,GAS,10,0 days 00:01:47.183000,24.0,1.0,,,0 days 00:00:19.094000,0 days 00:00:44.903000,0 days 00:00:43.186000,0 days 01:19:14.956000,0 days 01:19:59.859000,0 days 01:20:43.045000,280.0,288.0,212.0,290.0,False,SUPERSOFT,24.0,True,Toro Rosso,0 days 01:18:55.928000,2018-11-25 13:58:56.001,1,9.0,False,,False,True,33.1,38.2,1013.2,False,33.6,274,3.4,2018
0 days 01:22:31.507000,GAS,10,0 days 00:01:48.396000,25.0,1.0,,,0 days 00:00:19.278000,0 days 00:00:45.859000,0 days 00:00:43.259000,0 days 01:21:02.323000,0 days 01:21:48.182000,0 days 01:22:31.441000,247.0,290.0,214.0,286.0,False,SUPERSOFT,25.0,True,Toro Rosso,0 days 01:20:43.111000,2018-11-25 14:00:43.184,1,8.0,False,,False,True,32.5,41.4,1013.2,False,33.5,284,4.6,2018
0 days 01:24:18.493000,GAS,10,0 days 00:01:46.986000,26.0,1.0,,,0 days 00:00:18.398000,0 days 00:00:45.642000,0 days 00:00:42.946000,0 days 01:22:49.839000,0 days 01:23:35.481000,0 days 01:24:18.427000,272.0,288.0,213.0,291.0,False,SUPERSOFT,26.0,True,Toro Rosso,0 days 01:22:31.507000,2018-11-25 14:02:31.580,1,8.0,False,,False,True,32.1,45.7,1013.5,False,33.5,267,3.6,2018
0 days 01:26:04.879000,GAS,10,0 days 00:01:46.386000,27.0,1.0,,,0 days 00:00:18.477000,0 days 00:00:45.364000,0 days 00:00:42.545000,0 days 01:24:36.904000,0 days 01:25:22.268000,0 days 01:26:04.813000,278.0,284.0,215.0,292.0,False,SUPERSOFT,27.0,True,Toro Rosso,0 days 01:24:18.493000,2018-11-25 14:04:18.566,1,7.0,False,,False,True,31.1,50.2,1013.5,True,32.1,279,4.1,2018
0 days 01:27:50.048000,GAS,10,0 days 00:01:45.169000,28.0,1.0,,,0 days 00:00:18.232000,0 days 00:00:44.800000,0 days 00:00:42.137000,0 days 01:26:23.045000,0 days 01:27:07.845000,0 days 01:27:49.982000,273.0,282.0,215.0,292.0,True,SUPERSOFT,28.0,True,Toro Rosso,0 days 01:26:04.879000,2018-11-25 14:06:04.952,1,7.0,False,,False,True,31.1,50.2,1013.5,True,32.1,279,4.1,2018
0 days 01:33:29.170000,GAS,10,0 days 00:01:45.816000,31.0,2.0,,,0 days 00:00:18.230000,0 days 00:00:44.271000,0 days 00:00:43.315000,0 days 01:32:01.518000,0 days 01:32:45.789000,0 days 01:33:29.104000,288.0,315.0,212.0,330.0,False,ULTRASOFT,2.0,True,Toro Rosso,0 days 01:31:43.354000,2018-11-25 14:11:43.427,1,15.0,False,,False,True,29.4,54.9,1013.3,False,31.5,272,2.2,2018
0 days 01:35:14.916000,GAS,10,0 days 00:01:45.746000,32.0,2.0,,,0 days 00:00:18.431000,0 days 00:00:44.314000,0 days 00:00:43.001000,0 days 01:33:47.535000,0 days 01:34:31.849000,0 days 01:35:14.850000,286.0,276.0,214.0,304.0,False,ULTRASOFT,3.0,True,Toro Rosso,0 days 01:33:29.170000,2018-11-25 14:13:29.243,1,15.0,False,,False,True,29.4,54.1,1013.3,False,31.6,266,2.9,2018
0 days 01:37:00.374000,GAS,10,0 days 00:01:45.458000,33.0,2.0,,,0 days 00:00:18.274000,0 days 00:00:43.798000,0 days 00:00:43.386000,0 days 01:35:33.124000,0 days 01:36:16.922000,0 days 01:37:00.308000,,281.0,213.0,332.0,False,ULTRASOFT,4.0,True,Toro Rosso,0 days 01:35:14.916000,2018-11-25 14:15:14.989,1,14.0,False,,False,True,29.6,53.1,1013.2,False,31.7,271,2.1,2018
0 days 01:38:47.401000,GAS,10,0 days 00:01:47.027000,34.0,2.0,,,0 days 00:00:18.166000,0 days 00:00:44.922000,0 days 00:00:43.939000,0 days 01:37:18.474000,0 days 01:38:03.396000,0 days 01:38:47.335000,290.0,280.0,214.0,322.0,False,ULTRASOFT,5.0,True,Toro Rosso,0 days 01:37:00.374000,2018-11-25 14:17:00.447,1,14.0,False,,False,True,29.7,53.0,1013.1,False,31.9,260,2.6,2018
0 days 01:40:31.970000,GAS,10,0 days 00:01:44.569000,35.0,2.0,,,0 days 00:00:18.137000,0 days 00:00:44.101000,0 days 00:00:42.331000,0 days 01:39:05.472000,0 days 01:39:49.573000,0 days 01:40:31.904000,287.0,299.0,217.0,328.0,True,ULTRASOFT,6.0,True,Toro Rosso,0 days 01:38:47.401000,2018-11-25 14:18:47.474,1,13.0,False,,False,True,29.7,52.8,1013.1,False,32.2,235,1.5,2018
0 days 01:42:16.487000,GAS,10,0 days 00:01:44.517000,36.0,2.0,,,0 days 00:00:18.216000,0 days 00:00:44.422000,0 days 00:00:41.879000,0 days 01:40:50.120000,0 days 01:41:34.542000,0 days 01:42:16.421000,283.0,283.0,213.0,295.0,True,ULTRASOFT,7.0,True,Toro Rosso,0 days 01:40:31.970000,2018-11-25 14:20:32.043,1,13.0,False,,False,True,29.8,52.1,1013.0,False,32.4,274,0.9,2018
0 days 01:44:01.238000,GAS,10,0 days 00:01:44.751000,37.0,2.0,,,0 days 00:00:18.305000,0 days 00:00:44.416000,0 days 00:00:42.030000,0 days 01:42:34.726000,0 days 01:43:19.142000,0 days 01:44:01.172000,284.0,272.0,216.0,290.0,False,ULTRASOFT,8.0,True,Toro Rosso,0 days 01:42:16.487000,2018-11-25 14:22:16.560,1,13.0,False,,False,True,30.0,51.9,1013.0,False,32.6,243,2.3,2018
0 days 01:45:45.693000,GAS,10,0 days 00:01:44.455000,38.0,2.0,,,0 days 00:00:18.169000,0 days 00:00:44.457000,0 days 00:00:41.829000,0 days 01:44:19.341000,0 days 01:45:03.798000,0 days 01:45:45.627000,282.0,273.0,214.0,288.0,True,ULTRASOFT,9.0,True,Toro Rosso,0 days 01:44:01.238000,2018-11-25 14:24:01.311,1,13.0,False,,False,True,30.0,51.6,1013.0,False,32.6,278,1.0,2018
0 days 01:47:30.148000,GAS,10,0 days 00:01:44.455000,39.0,2.0,,,0 days 00:00:18.225000,0 days 00:00:44.370000,0 days 00:00:41.860000,0 days 01:46:03.852000,0 days 01:46:48.222000,0 days 01:47:30.082000,285.0,273.0,216.0,289.0,False,ULTRASOFT,10.0,True,Toro Rosso,0 days 01:45:45.693000,2018-11-25 14:25:45.766,1,13.0,False,,False,True,30.3,50.5,1013.1,False,33.0,279,2.9,2018
0 days 01:49:15.067000,GAS,10,0 days 00:01:44.919000,40.0,2.0,,,0 days 00:00:18.183000,0 days 00:00:44.687000,0 days 00:00:42.049000,0 days 01:47:48.265000,0 days 01:48:32.952000,0 days 01:49:15.001000,282.0,269.0,216.0,284.0,False,ULTRASOFT,11.0,True,Toro Rosso,0 days 01:47:30.148000,2018-11-25 14:27:30.221,1,13.0,False,,False,True,30.5,49.8,1013.2,False,32.4,281,1.3,2018
0 days 01:50:59.155000,GAS,10,0 days 00:01:44.088000,41.0,2.0,,,0 days 00:00:18.097000,0 days 00:00:44.160000,0 days 00:00:41.831000,0 days 01:49:33.098000,0 days 01:50:17.258000,0 days 01:50:59.089000,281.0,279.0,217.0,299.0,True,ULTRASOFT,12.0,True,Toro Rosso,0 days 01:49:15.067000,2018-11-25 14:29:15.140,1,12.0,False,,False,True,30.4,50.0,1013.0,False,32.4,296,2.3,2018
0 days 01:52:43.143000,GAS,10,0 days 00:01:43.988000,42.0,2.0,,,0 days 00:00:18.138000,0 days 00:00:44.079000,0 days 00:00:41.771000,0 days 01:51:17.227000,0 days 01:52:01.306000,0 days 01:52:43.077000,286.0,275.0,217.0,299.0,True,ULTRASOFT,13.0,True,Toro Rosso,0 days 01:50:59.155000,2018-11-25 14:30:59.228,1,11.0,False,,False,True,30.4,50.0,1013.2,False,32.3,296,1.8,2018
0 days 01:54:27.221000,GAS,10,0 days 00:01:44.078000,43.0,2.0,,,0 days 00:00:18.007000,0 days 00:00:44.347000,0 days 00:00:41.724000,0 days 01:53:01.084000,0 days 01:53:45.431000,0 days 01:54:27.155000,281.0,286.0,217.0,292.0,False,ULTRASOFT,14.0,True,Toro Rosso,0 days 01:52:43.143000,2018-11-25 14:32:43.216,1,11.0,False,,False,True,30.3,50.2,1013.2,False,32.1,280,0.9,2018
0 days 01:56:13.421000,GAS,10,0 days 00:01:46.200000,44.0,2.0,,,0 days 00:00:18.083000,0 days 00:00:45.223000,0 days 00:00:42.894000,0 days 01:54:45.238000,0 days 01:55:30.461000,0 days 01:56:13.355000,277.0,208.0,214.0,294.0,False,ULTRASOFT,15.0,True,Toro Rosso,0 days 01:54:27.221000,2018-11-25 14:34:27.294,1,11.0,False,,False,True,30.2,50.2,1013.2,False,32.3,332,2.0,2018
0 days 01:57:58.005000,GAS,10,0 days 00:01:44.584000,45.0,2.0,,,0 days 00:00:18.166000,0 days 00:00:44.043000,0 days 00:00:42.375000,0 days 01:56:31.521000,0 days 01:57:15.564000,0 days 01:57:57.939000,271.0,293.0,216.0,302.0,False,ULTRASOFT,16.0,True,Toro Rosso,0 days 01:56:13.421000,2018-11-25 14:36:13.494,1,11.0,False,,False,True,30.3,49.9,1013.4,False,32.4,274,3.2,2018
0 days 01:59:44.254000,GAS,10,0 days 00:01:46.249000,46.0,2.0,,,0 days 00:00:18.115000,0 days 00:00:45.100000,0 days 00:00:43.034000,0 days 01:58:16.054000,0 days 01:59:01.154000,0 days 01:59:44.188000,279.0,264.0,217.0,277.0,False,ULTRASOFT,17.0,True,Toro Rosso,0 days 01:57:58.005000,2018-11-25 14:37:58.078,1,10.0,False,,False,True,30.4,49.4,1013.7,False,32.5,266,3.7,2018
0 days 02:01:10.602000,GAS,10,,47.0,2.0,,,,,,,,,,,,,,ULTRASOFT,18.0,True,Toro Rosso,0 days 01:59:44.254000,,12,,False,,True,False,29.9,54.5,1013.9,False,32.2,23,5.9,2018
0 days 00:36:08.730000,PER,11,0 days 00:02:33.936000,1.0,1.0,,,,0 days 00:00:50.575000,0 days 00:01:19.587000,,0 days 00:34:49.106000,0 days 00:36:08.671000,266.0,71.0,136.0,305.0,False,ULTRASOFT,1.0,True,Racing Point,0 days 00:33:34.462000,2018-11-25 13:13:34.535,124,11.0,False,,False,False,32.1,39.6,1012.7,False,34.3,302,0.9,2018
0 days 00:38:48.562000,PER,11,,2.0,1.0,,,0 days 00:00:25.566000,0 days 00:01:13.285000,0 days 00:01:01.026000,0 days 00:36:34.192000,0 days 00:37:47.543000,0 days 00:38:48.648000,192.0,104.0,157.0,117.0,False,ULTRASOFT,2.0,True,Racing Point,0 days 00:36:08.730000,2018-11-25 13:16:08.803,4,10.0,False,,False,False,32.3,38.7,1012.8,False,34.1,272,0.7,2018
0 days 00:41:25.420000,PER,11,,3.0,1.0,,,0 days 00:00:28.222000,0 days 00:01:08.779000,0 days 00:00:59.866000,0 days 00:39:16.716000,0 days 00:40:25.680000,0 days 00:41:25.495000,154.0,108.0,142.0,125.0,False,ULTRASOFT,3.0,True,Racing Point,0 days 00:38:48.562000,2018-11-25 13:18:48.635,4,10.0,False,,False,False,32.5,38.2,1012.7,False,34.7,225,1.5,2018
0 days 00:44:03.944000,PER,11,,4.0,1.0,,,0 days 00:00:30.788000,0 days 00:01:09.130000,0 days 00:00:58.624000,0 days 00:41:56.230000,0 days 00:43:05.330000,0 days 00:44:04.109000,101.0,130.0,210.0,155.0,False,ULTRASOFT,4.0,True,Racing Point,0 days 00:41:25.420000,2018-11-25 13:21:25.493,41,10.0,False,,False,False,32.6,38.0,1012.8,False,34.8,280,1.0,2018
0 days 00:45:51.998000,PER,11,0 days 00:01:48.054000,5.0,1.0,,,0 days 00:00:18.879000,0 days 00:00:44.564000,0 days 00:00:44.611000,0 days 00:44:22.764000,0 days 00:45:07.328000,0 days 00:45:51.939000,289.0,261.0,214.0,321.0,True,ULTRASOFT,5.0,True,Racing Point,0 days 00:44:03.944000,2018-11-25 13:24:04.017,1,10.0,False,,False,True,32.6,37.7,1012.8,False,34.6,267,0.8,2018
0 days 00:47:39.895000,PER,11,0 days 00:01:47.897000,6.0,1.0,,,0 days 00:00:18.663000,0 days 00:00:45.003000,0 days 00:00:44.231000,0 days 00:46:10.602000,0 days 00:46:55.605000,0 days 00:47:39.836000,275.0,277.0,212.0,306.0,True,ULTRASOFT,6.0,True,Racing Point,0 days 00:45:51.998000,2018-11-25 13:25:52.071,1,9.0,False,,False,True,32.7,37.5,1012.8,False,34.6,0,1.3,2018
0 days 00:49:53.744000,PER,11,0 days 00:02:13.849000,7.0,1.0,,,0 days 00:00:18.659000,0 days 00:01:01.042000,0 days 00:00:54.148000,0 days 00:47:58.495000,0 days 00:48:59.537000,0 days 00:49:53.685000,279.0,190.0,144.0,198.0,False,ULTRASOFT,7.0,True,Racing Point,0 days 00:47:39.895000,2018-11-25 13:27:39.968,126,9.0,False,,False,False,32.7,37.2,1012.8,False,34.3,272,1.5,2018
0 days 00:52:05.627000,PER,11,0 days 00:02:11.883000,8.0,1.0,,,0 days 00:00:28.712000,0 days 00:00:57.563000,0 days 00:00:45.608000,0 days 00:50:22.397000,0 days 00:51:19.960000,0 days 00:52:05.568000,138.0,193.0,215.0,199.0,False,ULTRASOFT,8.0,True,Racing Point,0 days 00:49:53.744000,2018-11-25 13:29:53.817,671,7.0,False,,False,False,33.0,36.5,1013.0,False,34.4,274,1.6,2018
0 days 00:53:51.706000,PER,11,0 days 00:01:46.079000,9.0,1.0,,,0 days 00:00:18.428000,0 days 00:00:44.265000,0 days 00:00:43.386000,0 days 00:52:23.996000,0 days 00:53:08.261000,0 days 00:53:51.647000,283.0,273.0,212.0,299.0,True,ULTRASOFT,9.0,True,Racing Point,0 days 00:52:05.627000,2018-11-25 13:32:05.700,1,7.0,False,,False,True,33.1,36.6,1013.0,False,34.4,265,0.9,2018
0 days 00:55:38.591000,PER,11,0 days 00:01:46.885000,10.0,1.0,,,0 days 00:00:18.527000,0 days 00:00:44.827000,0 days 00:00:43.531000,0 days 00:54:10.174000,0 days 00:54:55.001000,0 days 00:55:38.532000,279.0,282.0,212.0,306.0,False,ULTRASOFT,10.0,True,Racing Point,0 days 00:53:51.706000,2018-11-25 13:33:51.779,1,7.0,False,,False,True,33.1,36.7,1012.9,False,34.1,0,1.0,2018
0 days 00:57:25.264000,PER,11,0 days 00:01:46.673000,11.0,1.0,,,0 days 00:00:18.503000,0 days 00:00:44.610000,0 days 00:00:43.560000,0 days 00:55:57.035000,0 days 00:56:41.645000,0 days 00:57:25.205000,281.0,295.0,211.0,309.0,False,ULTRASOFT,11.0,True,Racing Point,0 days 00:55:38.591000,2018-11-25 13:35:38.664,1,7.0,False,,False,True,32.9,36.8,1012.9,False,34.3,246,1.1,2018
0 days 00:59:12.168000,PER,11,0 days 00:01:46.904000,12.0,1.0,,,0 days 00:00:18.550000,0 days 00:00:44.796000,0 days 00:00:43.558000,0 days 00:57:43.755000,0 days 00:58:28.551000,0 days 00:59:12.109000,277.0,288.0,214.0,305.0,False,ULTRASOFT,12.0,True,Racing Point,0 days 00:57:25.264000,2018-11-25 13:37:25.337,1,7.0,False,,False,True,32.9,37.0,1012.9,False,34.3,273,1.3,2018
0 days 01:00:59.407000,PER,11,0 days 00:01:47.239000,13.0,1.0,,,0 days 00:00:18.497000,0 days 00:00:44.887000,0 days 00:00:43.855000,0 days 00:59:30.606000,0 days 01:00:15.493000,0 days 01:00:59.348000,278.0,291.0,211.0,306.0,False,ULTRASOFT,13.0,True,Racing Point,0 days 00:59:12.168000,2018-11-25 13:39:12.241,1,7.0,False,,False,True,33.0,36.6,1012.9,False,34.3,271,3.1,2018
0 days 01:02:46.749000,PER,11,0 days 00:01:47.342000,14.0,1.0,,,0 days 00:00:18.570000,0 days 00:00:44.824000,0 days 00:00:43.948000,0 days 01:01:17.918000,0 days 01:02:02.742000,0 days 01:02:46.690000,277.0,287.0,210.0,306.0,False,ULTRASOFT,14.0,True,Racing Point,0 days 01:00:59.407000,2018-11-25 13:40:59.480,1,7.0,False,,False,True,33.2,36.2,1013.0,False,34.5,244,1.4,2018
0 days 01:04:34.279000,PER,11,0 days 00:01:47.530000,15.0,1.0,,,0 days 00:00:18.565000,0 days 00:00:44.904000,0 days 00:00:44.061000,0 days 01:03:05.255000,0 days 01:03:50.159000,0 days 01:04:34.220000,278.0,284.0,212.0,305.0,False,ULTRASOFT,15.0,True,Racing Point,0 days 01:02:46.749000,2018-11-25 13:42:46.822,1,7.0,False,,False,True,33.1,36.4,1013.0,False,34.4,248,1.4,2018
0 days 01:06:21.707000,PER,11,0 days 00:01:47.428000,16.0,1.0,,,0 days 00:00:18.559000,0 days 00:00:45.157000,0 days 00:00:43.712000,0 days 01:04:52.779000,0 days 01:05:37.936000,0 days 01:06:21.648000,,293.0,210.0,315.0,False,ULTRASOFT,16.0,True,Racing Point,0 days 01:04:34.279000,2018-11-25 13:44:34.352,1,6.0,False,,False,True,33.0,36.5,1013.0,False,34.3,281,1.6,2018
